Aisle Title,Hints,Description,primary tag,secondary tag
Title: 50 Shades of Pink,Create aisles with pink as the primary color,"Channeling Audrey Hepburn ""I Believe in Pink"" and looking for some nice dresses.",Tags: hot pink; cocktail dress; pink bow; silk dress; vibrant pink;,
Accessories That Pop,,,Tags: ear rings; bangles;,
All Black,,,Tags: little black dress;,
All White,,,Tags: white jacket;,
At the Races,,,,
Biker Jackets,,,,
Boxy Crop Top,,,,
Boyfriend Sweater,,,Tags: sweater;,
Breezy Spring,,,Tags: Bags; woven bags;,
Colorful Woven Bags,,,Tags: fatigues;,
Combat Ready!,,,,
Crop Top Black Tie Look,,,,
Crop Tops,,,,
Cut Out Shirts,,,,
Don’t Jump!,Jumpsuits,,,
Embroidered Floral Shirts,,,,
Faux Fur,,,,
Floral Slip Dress,,,,
Flowing Trench Coats,,,,
For Her,Gifts,,,
For Him,Gifts,,,
Go Native,Tribal,,,
"Green, No Envy",,,,
Grey on Grey on Grey,,,,
Happy Layering,Winter,,,
High Necks,,,,
High Waist Skirt,,,,
Holiday Specials,,,,
I See You,Mirrors,,,
Indian Summer,,,,
Jumper Around,,,,
Lace Skirts,,,,
Ladylike Pleated Skirts,,,,
Mirrors,,,,
Modern Basic,,,,
Mules,,,,
Open Front Shirts,,,,
Origins,"Tribal, Organic, Natural",,,
Oversized!,,,,
"Part Nerd, Part Cool","Formal Tops, Informal Bottoms or Vice Versa",,,
Pastels,,,,
Plaid For You,,,,
Pretty in Pink,,,,
Punk’d,,,,
Red Carpet,,,,
Roses are Red,,,,
Smock Dresses and Fringed Bangs,,,,
The In Thing,Latest Styles,,,
The Sky is Blue,,,,
Tropical Prints,,,,
Violets are Blue,,,,
White Leather,,,,
Wide Leg Pants,,,,
Yellow Overload,,,,
Romping in the Sun,,,,
Overlay,,,,
Origami,,,,
Tied-up,Waist tied shirts,,,
Make a Statement,,,,
Edgy,,,,
Flat Earth,Flat Sandals,,,
Catty,Leopard,,,
Sssss,Snake ,,,
The Big Easy,New Orleans Style,,,
An Evening in Paris,,,,
A Midsummer Night's Dream,,,,
Racing to a Finish,,,,
Black and White,,,,
Emerald Green,,,,
Baby Blues,,,,
Preppy,,,,
Saints and Sinners,,,,
Charming,,,,
Scandal,From ABC's Scandal,,,
O'pope,Olivia Pope from ABC's Scandal,,,
